status,tenant,productCode,sourceType,productType,supportCountryCode,vendorCode,dataPolicyCode,larkProductCode,typeOfSim,operatorCode,purchaseType,skuType,dataType,baseSimEsimSkuCode,importType,supportedCountries,supportedCountryName,dailyResetTime,activationTime,networkType,apnOriginal,apn,onsiteCarrier,localPhoneNumber,localNumberCountry,hotspot,kycCode,kycNeeded,kycLinks,topUpOptions,activation,unsupportedApps,telcoPerks,note,dataPlanType,dateCreated,lastModifiedDate,createdAt,createdBy,updatedAt,updatedBy
Active,US,ECKOR3DF,E,C,KOR,3D,F,EKOR3DF,eSIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLESIM,Official,KR,South Korea,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"South Korea: SK, LGU",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751878696000,1771818105000,2026-04-19T16:51:16.974Z,,2026-04-30T04:43:03.246Z,
Active,US,ECKOR3DB,E,C,KOR,3D,B,EKOR3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,KR,South Korea,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G/5G,mobile.three.com.hk,gohub.com,"South Korea: SK, LGU",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751878695000,1771818105000,2026-04-19T16:51:16.447Z,,2026-04-30T04:43:03.246Z,
Active,US,ECKOR3DA,E,C,KOR,3D,A,EKOR3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,KR,South Korea,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G/5G,mobile.three.com.hk,gohub.com,"South Korea: SK, LGU",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751878695000,1771818105000,2026-04-19T16:51:15.922Z,,2026-04-30T04:43:03.246Z,
Active,US,ECJPN3DP,E,C,JPN,3D,P,EJPN3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,JP,Japan,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Japan: Rakuten, Docomo",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751877615000,1771818105000,2026-04-19T16:51:15.399Z,,2026-04-30T04:43:03.246Z,
Active,US,ECJPN3DF,E,C,JPN,3D,F,EJPN3DF,eSIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLESIM,Official,JP,Japan,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Japan: Rakuten, Docomo",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751877674000,1771818105000,2026-04-19T16:51:14.875Z,,2026-04-30T04:43:03.246Z,
Active,US,ECJPN3DB,E,C,JPN,3D,B,EJPN3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,JP,Japan,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Japan: Rakuten, Docomo",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751877615000,1771818105000,2026-04-19T16:51:14.350Z,,2026-04-30T04:43:03.246Z,
Active,US,ECJPN3DA,E,C,JPN,3D,A,EJPN3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,JP,Japan,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Japan: Rakuten, Docomo",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751877615000,1771818105000,2026-04-19T16:51:13.826Z,,2026-04-30T04:43:03.246Z,
Active,US,ECIDN3DP,E,C,IDN,3D,P,EIDN3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,ID,Indonesia,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Indonesia: Telkomsel, Indosat",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751877379000,1771818105000,2026-04-19T16:51:13.303Z,,2026-04-30T04:43:03.246Z,
Active,US,ECIDN3DF,E,C,IDN,3D,F,EIDN3DF,eSIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLESIM,Official,ID,Indonesia,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Indonesia: Telkomsel, Indosat",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751877456000,1771818105000,2026-04-19T16:51:12.778Z,,2026-04-30T04:43:03.246Z,
Active,US,ECHKM3DP,E,C,HKM,3D,P,EHKM3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,"HK,MO","Hong Kong, Macao",Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"HongKong: 3HK
Macao: 3HK",No,[object Object],Yes,6,Yes,https://web.three.com.hk/prepaid/realnameregistration/index-en.html,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1753871025000,1771818105000,2026-04-19T16:51:12.256Z,,2026-04-30T04:43:03.247Z,
