wmproductId,productId,product name,region,type,cost price (NT),selling price (NT),original product name,leSIM,,,,,,,,,,,
WM-e-EU-D-3GB-27D,LeSIM-11160027,"BICS Europe, 27 Days, 3GB /day, 128kbps",Europe,eSIM,1587,,"BICS Europe, 27 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-28D,LeSIM-11200028,"BICS Europe, 28 Days, 10GB /day, 128kbps",Europe,eSIM,2094,,"BICS Europe, 28 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-28D,LeSIM-11140028,"BICS Europe, 28 Days, 1GB /day, 128kbps",Europe,eSIM,635,,"BICS Europe, 28 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-28D,LeSIM-11150028,"BICS Europe, 28 Days, 2GB /day, 128kbps",Europe,eSIM,1206,,"BICS Europe, 28 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-28D,LeSIM-11160028,"BICS Europe, 28 Days, 3GB /day, 128kbps",Europe,eSIM,1608,,"BICS Europe, 28 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-29D,LeSIM-11200029,"BICS Europe, 29 Days, 10GB /day, 128kbps",Europe,eSIM,2115,,"BICS Europe, 29 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-29D,LeSIM-11140029,"BICS Europe, 29 Days, 1GB /day, 128kbps",Europe,eSIM,645,,"BICS Europe, 29 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-29D,LeSIM-11150029,"BICS Europe, 29 Days, 2GB /day, 128kbps",Europe,eSIM,1216,,"BICS Europe, 29 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-29D,LeSIM-11160029,"BICS Europe, 29 Days, 3GB /day, 128kbps",Europe,eSIM,1629,,"BICS Europe, 29 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T10-3D,LeSIM-11170003,"BICS Europe, 3 Days, 10GB, 128kbps",Europe,eSIM,258,,"BICS Europe, 3 Days, 10GB, 128kbps",Y,,,,,,,,,,,
